"Item_Identifier","Item_Category","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Years_Open","Outlet_Identifier","Outlet_Size","Outlet_Location_Type","Outlet_Type","Item_Outlet_Sales"
"J18","NC",12.35,"Low Fat",0.163805509,"Household",117.6124,26,"OUT013","High","Tier 3","Supermarket Type1",3910.9092
"N48","FD",13.35,"Low Fat",0.065082452,"Baking Goods",93.0804,11,"OUT045","Small","Tier 2","Supermarket Type1",2113.2492
"Z59","FD",12.2771082089552,"Regular",0.182128363,"Baking Goods",165.65,28,"OUT019","Small","Tier 1","Grocery Store",665.8
"B57","FD",13.2247693817468,"Regular",0.01871404,"Fruits and Vegetables",223.4772,28,"OUT027","Medium","Tier 3","Supermarket Type3",7116.0704
"P35","DR",11.4003278688525,"Low Fat",0.159096908,"Hard Drinks",129.3336,28,"OUT019","Small","Tier 1","Grocery Store",127.8336
"Z59","FD",6.63,"Regular",0.103935018,"Baking Goods",166.85,26,"OUT013","High","Tier 3","Supermarket Type1",5326.4
"U58","FD",6.61,"Regular",0.029129907,"Snack Foods",188.4898,4,"OUT018","Medium","Tier 3","Supermarket Type2",4677.245
"L09","FD",19.6,"Regular",0.128011859,"Snack Foods",166.8816,9,"OUT035","Small","Tier 2","Supermarket Type1",1845.5976
"Y38","FD",13.6,"Regular",0.119850541,"Dairy",234.53,6,"OUT017","Small","Tier 2","Supermarket Type1",6524.84
"I46","FD",12.9878795546559,"Low Fat",0.073985248,"Snack Foods",252.5724,28,"OUT027","Medium","Tier 3","Supermarket Type3",3271.7412
"L03","FD",19.25,"Regular",0.027233781,"Meat",197.511,6,"OUT017","Small","Tier 2","Supermarket Type1",982.055
"C25","DR",11.8474598930481,"Low Fat",0.079440262,"Soft Drinks",86.7882,28,"OUT019","Small","Tier 1","Grocery Store",85.8882
"U60","FD",20,"Regular",0.060022526,"Baking Goods",168.7132,11,"OUT045","Small","Tier 2","Supermarket Type1",6426.3016
"P25","FD",12.3057050092764,"Low Fat",0.02110482,"Canned",217.0824,28,"OUT027","Medium","Tier 3","Supermarket Type3",6769.8544
"O57","FD",20.75,"Low Fat",0.181958524,"Snack Foods",161.0578,15,"OUT010","Medium","Tier 3","Grocery Store",481.3734
"Q09","FD",7.235,"Low Fat",0.058222587,"Snack Foods",114.8834,14,"OUT049","Medium","Tier 1","Supermarket Type1",3340.3186
"Y05","NC",13.1423139534884,"Low Fat",0.054723717,"Health and Hygiene",36.6874,28,"OUT027","Medium","Tier 3","Supermarket Type3",1058.622
"A20","FD",6.78,"Low Fat",0.066724663,"Fruits and Vegetables",187.724,14,"OUT049","Medium","Tier 1","Supermarket Type1",1491.392
"F16","FD",7.3,"Low Fat",0.144167934,"Frozen Foods",146.3076,15,"OUT010","Medium","Tier 3","Grocery Store",886.8456
"G07","NC",12.3,"Low Fat",0.052458358,"Household",188.753,26,"OUT013","High","Tier 3","Supermarket Type1",3795.06
"R46","FD",16.85,"Low Fat",0.139985583,"Snack Foods",145.276,4,"OUT018","Medium","Tier 3","Supermarket Type2",2490.092
"P22","FD",14.65,"Regular",0.099286298,"Snack Foods",49.8666,14,"OUT049","Medium","Tier 1","Supermarket Type1",563.9326
"L45","FD",15.6,"Low Fat",0.037680711,"Snack Foods",123.7704,9,"OUT035","Small","Tier 2","Supermarket Type1",3129.26
"F42","NC",17.35,"Low Fat",0.168064909,"Household",176.2712,4,"OUT018","Medium","Tier 3","Supermarket Type2",1230.3984
"D04","FD",16,"Low Fat",0.090111173,"Dairy",141.3154,14,"OUT049","Medium","Tier 1","Supermarket Type1",3261.7542
"C45","FD",17,"Low Fat",0.136286138,"Fruits and Vegetables",170.9106,4,"OUT018","Medium","Tier 3","Supermarket Type2",1197.7742
"I40","FD",11.5,"Regular",0.125857678,"Frozen Foods",100.5358,11,"OUT045","Small","Tier 2","Supermarket Type1",2111.2518
"Q11","FD",5.695,"Regular",0.067700925,"Breads",256.5988,16,"OUT046","Small","Tier 1","Supermarket Type1",2055.9904
"M48","DR",15.2,"Low Fat",0.112896669,"Soft Drinks",36.0848,16,"OUT046","Small","Tier 1","Supermarket Type1",1193.1136
"S12","FD",9.1,"Low Fat",0.173973652,"Baking Goods",126.5362,26,"OUT013","High","Tier 3","Supermarket Type1",1761.7068
"R46","FD",16.85,"Low Fat",0,"Snack Foods",146.076,6,"OUT017","Small","Tier 2","Supermarket Type1",2636.568
"O02","NC",11.15,"Low Fat",0.073516952,"Others",65.9142,11,"OUT045","Small","Tier 2","Supermarket Type1",790.9704
"Q52","FD",17,"Low Fat",0.119285634,"Frozen Foods",247.4434,26,"OUT013","High","Tier 3","Supermarket Type1",2980.1208
"Y28","FD",7.47,"Regular",0.153011599,"Frozen Foods",215.2218,6,"OUT017","Small","Tier 2","Supermarket Type1",3419.5488
"E32","FD",20.7,"Low Fat",0.04875891,"Fruits and Vegetables",37.3506,16,"OUT046","Small","Tier 1","Supermarket Type1",834.9132
"J58","FD",15.6,"Regular",0.105276162,"Snack Foods",173.2764,9,"OUT035","Small","Tier 2","Supermarket Type1",3779.0808
"J27","FD",17.7,"Regular",0.122123201,"Meat",100.7674,11,"OUT045","Small","Tier 2","Supermarket Type1",814.9392
"M18","NC",13,"Low Fat",0.082970667,"Household",60.0194,14,"OUT049","Medium","Tier 1","Supermarket Type1",1114.5492
"A02","FD",14,"Regular",0.029782937,"Dairy",146.3786,11,"OUT045","Small","Tier 2","Supermarket Type1",866.8716
"T26","FD",18.85,"Regular",0.067953506,"Dairy",119.044,16,"OUT046","Small","Tier 1","Supermarket Type1",2396.88
"D60","DR",15.7,"Low Fat",0.03722507,"Soft Drinks",182.4634,9,"OUT035","Small","Tier 2","Supermarket Type1",1999.3974
"R18","NC",15.85,"Low Fat",0.020487625,"Household",44.0112,16,"OUT046","Small","Tier 1","Supermarket Type1",468.7232
"O27","FD",6.175,"Regular",0.179077475,"Meat",94.3752,16,"OUT046","Small","Tier 1","Supermarket Type1",1342.2528
"P25","FD",12.3057050092764,"Low Fat",0.037131628,"Canned",216.4824,28,"OUT019","Small","Tier 1","Grocery Store",218.3824
"Q51","FD",16,"Regular",0.017547958,"Meat",48.3718,9,"OUT035","Small","Tier 2","Supermarket Type1",614.5334
"H07","NC",13.15,"Low Fat",0.093191195,"Household",158.1604,6,"OUT017","Small","Tier 2","Supermarket Type1",1426.1436
"P44","FD",16.5,"Regular",0.079875237,"Fruits and Vegetables",102.7332,11,"OUT045","Small","Tier 2","Supermarket Type1",1537.998
"P55","NC",14.65,"Low Fat",0.01125332,"Others",57.0614,6,"OUT017","Small","Tier 2","Supermarket Type1",939.4438
"O09","FD",13.5,"Regular",0.125170423,"Snack Foods",261.491,26,"OUT013","High","Tier 3","Supermarket Type1",3418.883
"P38","FD",10.1,"Low Fat",0.032152004,"Canned",50.6008,14,"OUT049","Medium","Tier 1","Supermarket Type1",404.8064
"I48","FD",11.85,"Regular",0.056033565,"Baking Goods",51.4666,6,"OUT017","Small","Tier 2","Supermarket Type1",974.0654
"S58","FD",9.285,"Regular",0.021049215,"Snack Foods",161.0578,11,"OUT045","Small","Tier 2","Supermarket Type1",2406.867
"J55","FD",12.8,"Regular",0.023526504,"Meat",223.5404,9,"OUT035","Small","Tier 2","Supermarket Type1",5626.01
"F06","NC",6.235,"Low Fat",0.020229757,"Household",260.8962,14,"OUT049","Medium","Tier 1","Supermarket Type1",5956.9126
"F41","FD",12.15,"Low Fat",0.131445848,"Frozen Foods",246.846,11,"OUT045","Small","Tier 2","Supermarket Type1",6404.996
"L05","NC",13.1423139534884,"Low Fat",0.083862625,"Health and Hygiene",44.077,28,"OUT019","Small","Tier 1","Grocery Store",216.385
"T24","FD",12.35,"Regular",0.18614827,"Baking Goods",78.2328,14,"OUT049","Medium","Tier 1","Supermarket Type1",1158.492
"K08","FD",9.195,"Regular",0.204713036,"Fruits and Vegetables",101.0016,15,"OUT010","Medium","Tier 3","Grocery Store",202.4032
"U55","FD",16.2,"Low Fat",0.036057562,"Fruits and Vegetables",260.3278,4,"OUT018","Medium","Tier 3","Supermarket Type2",2342.9502
"Y18","NC",7.285,"Low Fat",0.031327839,"Household",174.6054,6,"OUT017","Small","Tier 2","Supermarket Type1",2976.7918
"S11","FD",7.05,"Regular",0.055558509,"Breads",224.7088,16,"OUT046","Small","Tier 1","Supermarket Type1",3131.9232
"C28","FD",12.867061281337,"Low Fat",0,"Frozen Foods",109.9254,28,"OUT019","Small","Tier 1","Grocery Store",108.5254
"R59","FD",14.5,"Regular",0.063863551,"Breads",262.3594,16,"OUT046","Small","Tier 1","Supermarket Type1",4448.2098
"E15","DR",13.35,"Low Fat",0,"Dairy",75.7012,6,"OUT017","Small","Tier 2","Supermarket Type1",1442.1228
"P19","FD",11.5,"Low Fat",0,"Fruits and Vegetables",128.4652,14,"OUT049","Medium","Tier 1","Supermarket Type1",2841.6344
"N47","DR",12.1,"Low Fat",0.016852909,"Hard Drinks",180.666,14,"OUT049","Medium","Tier 1","Supermarket Type1",2876.256
"J34","FD",11.8,"Regular",0.094037241,"Snack Foods",124.5704,4,"OUT018","Medium","Tier 3","Supermarket Type2",1001.3632
"X21","FD",7.05,"Low Fat",0.085312137,"Snack Foods",107.4912,4,"OUT018","Medium","Tier 3","Supermarket Type2",982.7208
"I57","FD",12.5528431372549,"Low Fat",0.053764023,"Seafood",195.7768,28,"OUT027","Medium","Tier 3","Supermarket Type3",3547.3824
"I42","NC",18.75,"Low Fat",0.010365546,"Household",207.0954,16,"OUT046","Small","Tier 1","Supermarket Type1",3125.931
"L03","FD",19.25,"Regular",0.027135522,"Meat",196.311,11,"OUT045","Small","Tier 2","Supermarket Type1",3142.576
"X37","FD",16.2,"Low Fat",0,"Canned",100.57,26,"OUT013","High","Tier 3","Supermarket Type1",1398.18
"W57","FD",8.31,"Regular",0.116148596,"Snack Foods",176.0028,4,"OUT018","Medium","Tier 3","Supermarket Type2",4427.57
"X14","FD",13.1,"Low Fat",0.075363922,"Dairy",73.8354,6,"OUT017","Small","Tier 2","Supermarket Type1",1956.1204
"D09","FD",13.5,"Low Fat",0.021496403,"Fruits and Vegetables",180.5976,16,"OUT046","Small","Tier 1","Supermarket Type1",3078.6592
"M09","FD",11.15,"Regular",0.085931544,"Snack Foods",169.679,16,"OUT046","Small","Tier 1","Supermarket Type1",1018.674
"W54","NC",7.5,"Low Fat",0.096806008,"Household",56.2588,4,"OUT018","Medium","Tier 3","Supermarket Type2",687.1056
"L11","DR",11.4003278688525,"Low Fat",0.04778563,"Hard Drinks",156.5946,28,"OUT027","Medium","Tier 3","Supermarket Type3",3787.0704
"J58","FD",15.6,"Regular",0.105725004,"Snack Foods",169.9764,4,"OUT018","Medium","Tier 3","Supermarket Type2",2748.4224
"X21","FD",12.9878795546559,"Low Fat",0.148764535,"Snack Foods",111.1912,28,"OUT019","Small","Tier 1","Grocery Store",109.1912
"A20","FD",6.78,"Low Fat",0.066997921,"Fruits and Vegetables",186.524,6,"OUT017","Small","Tier 2","Supermarket Type1",2609.936
"L34","FD",16,"Low Fat",0.040938155,"Snack Foods",141.1496,9,"OUT035","Small","Tier 2","Supermarket Type1",4516.7872
"L38","FD",12.3057050092764,"Regular",0.014661762,"Canned",89.1172,28,"OUT027","Medium","Tier 3","Supermarket Type3",2319.6472
"L11","DR",10.5,"Low Fat",0.048213766,"Hard Drinks",159.6946,4,"OUT018","Medium","Tier 3","Supermarket Type2",3629.2758
"O40","FD",17.1,"Low Fat",0.032761024,"Frozen Foods",148.8392,4,"OUT018","Medium","Tier 3","Supermarket Type2",2087.9488
"Z24","DR",7.535,"Low Fat",0,"Soft Drinks",121.644,11,"OUT045","Small","Tier 2","Supermarket Type1",1557.972
"M52","FD",15.1,"Low Fat",0.025988508,"Frozen Foods",146.6076,9,"OUT035","Small","Tier 2","Supermarket Type1",2364.9216
"M52","FD",15.1,"Low Fat",0.026140452,"Frozen Foods",149.0076,6,"OUT017","Small","Tier 2","Supermarket Type1",4138.6128
"V49","FD",10,"Low Fat",0.025932408,"Canned",264.7226,4,"OUT018","Medium","Tier 3","Supermarket Type2",3171.8712
"F47","FD",20.85,"Low Fat",0.098170402,"Starchy Foods",224.0746,6,"OUT017","Small","Tier 2","Supermarket Type1",2243.746
"F56","FD",16.7,"Regular",0.119439636,"Fruits and Vegetables",182.1976,9,"OUT035","Small","Tier 2","Supermarket Type1",724.3904
"W12","FD",8.315,"Regular",0.059540542,"Baking Goods",143.6444,15,"OUT010","Medium","Tier 3","Grocery Store",145.1444
"Y09","FD",12.9878795546559,"Low Fat",0.044122209,"Snack Foods",173.8054,28,"OUT019","Small","Tier 1","Grocery Store",175.1054
"Y55","FD",16.75,"Low Fat",0.081304829,"Fruits and Vegetables",258.4988,9,"OUT035","Small","Tier 2","Supermarket Type1",4111.9808
"U36","FD",12.2771082089552,"Low Fat",0.081014461,"Baking Goods",98.8384,28,"OUT019","Small","Tier 1","Grocery Store",492.692
"R06","NC",12.5,"Low Fat",0.006775667,"Household",42.9112,14,"OUT049","Medium","Tier 1","Supermarket Type1",1022.6688
"W24","FD",6.8,"Low Fat",0.03749705,"Baking Goods",49.9034,16,"OUT046","Small","Tier 1","Supermarket Type1",194.4136
"F16","FD",7.3,"Low Fat",0.086060695,"Frozen Foods",149.8076,26,"OUT013","High","Tier 3","Supermarket Type1",2808.3444
"R18","NC",15.85,"Low Fat",0.020519478,"Household",42.5112,14,"OUT049","Medium","Tier 1","Supermarket Type1",852.224
"D01","DR",12.1,"Regular",0.061163967,"Soft Drinks",56.5614,9,"OUT035","Small","Tier 2","Supermarket Type1",828.921
"S15","FD",9.195,"Regular",0.07821891,"Meat",107.6596,11,"OUT045","Small","Tier 2","Supermarket Type1",323.5788
"T19","FD",7.59,"Regular",0.14492016,"Fruits and Vegetables",174.708,26,"OUT013","High","Tier 3","Supermarket Type1",2942.836
"E59","FD",12.15,"Low Fat",0.062235983,"Starchy Foods",34.5532,26,"OUT013","High","Tier 3","Supermarket Type1",359.532
"E04","FD",19.75,"Regular",0.030166924,"Frozen Foods",179.766,15,"OUT010","Medium","Tier 3","Grocery Store",719.064
"V17","NC",18.85,"Low Fat",0.016104504,"Health and Hygiene",130.2626,9,"OUT035","Small","Tier 2","Supermarket Type1",2360.9268
"C17","FD",12.15,"Low Fat",0.01544786,"Frozen Foods",211.2928,26,"OUT013","High","Tier 3","Supermarket Type1",2735.1064
"I45","FD",13.1,"Low Fat",0.037574137,"Fruits and Vegetables",174.2054,9,"OUT035","Small","Tier 2","Supermarket Type1",3677.2134
"Z33","FD",12.9878795546559,"Low Fat",0.106876976,"Snack Foods",146.7076,28,"OUT027","Medium","Tier 3","Supermarket Type3",3842.9976
"J56","FD",13.2247693817468,"Low Fat",0.32111501,"Fruits and Vegetables",100.77,28,"OUT019","Small","Tier 1","Grocery Store",199.74
"N25","FD",7.895,"Regular",0.061124626,"Breakfast",58.5588,26,"OUT013","High","Tier 3","Supermarket Type1",171.7764
"C10","FD",12.9878795546559,"Regular",0.127599399,"Snack Foods",118.9098,28,"OUT019","Small","Tier 1","Grocery Store",120.5098
"Q22","FD",16.75,"Low Fat",0.029785889,"Snack Foods",38.9822,14,"OUT049","Medium","Tier 1","Supermarket Type1",628.5152
"R54","NC",16.35,"Low Fat",0,"Household",198.211,9,"OUT035","Small","Tier 2","Supermarket Type1",2946.165
"K11","DR",8.21,"Low Fat",0.010762387,"Hard Drinks",149.5392,9,"OUT035","Small","Tier 2","Supermarket Type1",1789.6704
"I37","DR",15.85,"Low Fat",0.108206497,"Soft Drinks",58.3904,6,"OUT017","Small","Tier 2","Supermarket Type1",468.7232
"X37","FD",16.2,"Low Fat",0.063127333,"Canned",100.47,14,"OUT049","Medium","Tier 1","Supermarket Type1",1597.92
"F05","FD",17.5,"Low Fat",0.02687089,"Frozen Foods",264.491,16,"OUT046","Small","Tier 1","Supermarket Type1",3681.874
"W36","FD",12.2771082089552,"Low Fat",0.099681705,"Baking Goods",107.4622,28,"OUT019","Small","Tier 1","Grocery Store",317.5866
"I04","FD",13.65,"Regular",0.072898645,"Frozen Foods",198.1426,9,"OUT035","Small","Tier 2","Supermarket Type1",1977.426
"B04","FD",11.35,"Regular",0.063354531,"Dairy",88.9856,11,"OUT045","Small","Tier 2","Supermarket Type1",1230.3984
"U38","FD",10.8,"Low Fat",0.082534287,"Dairy",191.1504,9,"OUT035","Small","Tier 2","Supermarket Type1",4410.2592
"Y28","FD",7.47,"Regular",0.152024355,"Frozen Foods",211.8218,26,"OUT013","High","Tier 3","Supermarket Type1",1496.0526
"P20","FD",19.85,"Low Fat",0.045669236,"Fruits and Vegetables",126.402,16,"OUT046","Small","Tier 1","Supermarket Type1",1012.016
"C29","FD",8.39,"Regular",0.024342578,"Frozen Foods",113.6176,6,"OUT017","Small","Tier 2","Supermarket Type1",2862.94
"R45","FD",10.8,"Low Fat",0.028988288,"Snack Foods",239.2222,14,"OUT049","Medium","Tier 1","Supermarket Type1",6692.6216
"C42","NC",15,"Low Fat",0.044908404,"Health and Hygiene",140.2838,16,"OUT046","Small","Tier 1","Supermarket Type1",1404.838
"F42","NC",17.35,"Low Fat",0.168329848,"Household",176.7712,6,"OUT017","Small","Tier 2","Supermarket Type1",2812.3392
"Z45","FD",14.1,"Low Fat",0.111936685,"Snack Foods",198.8084,15,"OUT010","Medium","Tier 3","Grocery Store",992.042
"B23","FD",19.2,"Regular",0.005620213,"Starchy Foods",226.6062,6,"OUT017","Small","Tier 2","Supermarket Type1",5191.2426
"C41","FD",15.6,"Low Fat",0.117095014,"Frozen Foods",78.067,14,"OUT049","Medium","Tier 1","Supermarket Type1",1148.505
"A10","FD",12.9878795546559,"Low Fat",0.248301532,"Snack Foods",124.1072,28,"OUT019","Small","Tier 1","Grocery Store",245.0144
"M26","NC",20.5,"Low Fat",0.023274107,"Others",154.134,6,"OUT017","Small","Tier 2","Supermarket Type1",2909.546
"Z58","FD",12.9878795546559,"Low Fat",0.091354948,"Snack Foods",122.3072,28,"OUT019","Small","Tier 1","Grocery Store",122.5072
"W35","FD",10.6,"Low Fat",0.011087128,"Breads",41.4454,9,"OUT035","Small","Tier 2","Supermarket Type1",1468.089
"X32","FD",15.1,"Regular",0.099839365,"Fruits and Vegetables",143.3786,9,"OUT035","Small","Tier 2","Supermarket Type1",1733.7432
"K40","FD",7.035,"Low Fat",0.021938404,"Frozen Foods",264.691,4,"OUT018","Medium","Tier 3","Supermarket Type2",5785.802
"D04","FD",16,"Low Fat",0.090480206,"Dairy",142.4154,6,"OUT017","Small","Tier 2","Supermarket Type1",1985.4156
"P28","FD",13.65,"Regular",0.080640478,"Frozen Foods",262.6936,16,"OUT046","Small","Tier 1","Supermarket Type1",4175.8976
"L42","NC",18.85,"Low Fat",0.040338009,"Household",246.7144,26,"OUT013","High","Tier 3","Supermarket Type1",6615.3888
"B13","DR",6.115,"Regular",0.007043008,"Soft Drinks",190.353,9,"OUT035","Small","Tier 2","Supermarket Type1",569.259
"C33","FD",8.96,"Regular",0.069219165,"Fruits and Vegetables",196.5768,4,"OUT018","Medium","Tier 3","Supermarket Type2",2759.0752
"O58","FD",19.6,"Low Fat",0.039569689,"Snack Foods",165.9526,9,"OUT035","Small","Tier 2","Supermarket Type1",2631.2416
"E34","FD",9.195,"Low Fat",0.180588082,"Snack Foods",182.2634,15,"OUT010","Medium","Tier 3","Grocery Store",363.5268
"E19","NC",8.97,"Low Fat",0.09301462,"Household",52.7956,16,"OUT046","Small","Tier 1","Supermarket Type1",1037.3164
"J18","NC",12.35,"Low Fat",0.274405193,"Household",117.1124,15,"OUT010","Medium","Tier 3","Grocery Store",355.5372
"F52","FD",9.3,"Low Fat",0.066887123,"Frozen Foods",183.9292,14,"OUT049","Medium","Tier 1","Supermarket Type1",3283.7256
"Y04","FD",17.7,"Regular",0.042468413,"Frozen Foods",162.421,9,"OUT035","Small","Tier 2","Supermarket Type1",1468.089
"F49","DR",7.27,"Low Fat",0.071188446,"Soft Drinks",111.9518,14,"OUT049","Medium","Tier 1","Supermarket Type1",1138.518
"X27","FD",20.7,"Regular",0.191008614,"Dairy",92.8436,15,"OUT010","Medium","Tier 3","Grocery Store",189.0872
"V28","FD",16.1,"Regular",0.159595473,"Frozen Foods",32.8558,26,"OUT013","High","Tier 3","Supermarket Type1",339.558
"E33","FD",13.2247693817468,"Regular",0.086905536,"Fruits and Vegetables",78.8644,28,"OUT019","Small","Tier 1","Grocery Store",314.2576
"Q37","FD",20.75,"Low Fat",0.089186387,"Breakfast",193.3478,26,"OUT013","High","Tier 3","Supermarket Type1",6006.1818
"G30","NC",20.2,"Low Fat",0.112321218,"Household",123.6046,16,"OUT046","Small","Tier 1","Supermarket Type1",2988.1104
"H29","NC",5.51,"Low Fat",0.034668802,"Health and Hygiene",98.5726,6,"OUT017","Small","Tier 2","Supermarket Type1",1761.7068
"V20","FD",20.2,"Regular",0,"Fruits and Vegetables",129.0678,6,"OUT017","Small","Tier 2","Supermarket Type1",3560.6984
"G57","FD",14.7,"Low Fat",0.072592873,"Fruits and Vegetables",48.5034,4,"OUT018","Medium","Tier 3","Supermarket Type2",874.8612
"U60","FD",20,"Regular",0.059889718,"Baking Goods",168.5132,9,"OUT035","Small","Tier 2","Supermarket Type1",2874.9244
"H30","NC",17.1,"Low Fat",0.112402118,"Household",112.986,15,"OUT010","Medium","Tier 3","Grocery Store",113.186
"M29","NC",11.5,"Low Fat",0.029529474,"Health and Hygiene",132.6626,15,"OUT010","Medium","Tier 3","Grocery Store",262.3252
"B12","FD",11.15,"Regular",0.105736638,"Baking Goods",104.4648,4,"OUT018","Medium","Tier 3","Supermarket Type2",2181.1608
"D53","FD",16.2,"Low Fat",0.044291251,"Frozen Foods",43.3454,14,"OUT049","Medium","Tier 1","Supermarket Type1",503.3448
"I44","FD",16.1,"Low Fat",0.100388706,"Fruits and Vegetables",76.0328,14,"OUT049","Medium","Tier 1","Supermarket Type1",1853.5872
"W56","FD",13.2247693817468,"Low Fat",0.070556945,"Fruits and Vegetables",191.2162,28,"OUT027","Medium","Tier 3","Supermarket Type3",7504.2318
"A01","FD",15,"Regular",0.054599767,"Canned",59.4904,4,"OUT018","Medium","Tier 3","Supermarket Type2",644.4944
"G47","FD",12.8,"Low Fat",0.069560905,"Starchy Foods",263.0252,26,"OUT013","High","Tier 3","Supermarket Type1",2885.5772
"T40","FD",5.985,"Low Fat",0,"Frozen Foods",125.2678,9,"OUT035","Small","Tier 2","Supermarket Type1",1017.3424
"U20","FD",19.35,"Regular",0.021453493,"Fruits and Vegetables",120.3098,9,"OUT035","Small","Tier 2","Supermarket Type1",2530.7058
"P41","NC",16.6,"Low Fat",0.016276741,"Health and Hygiene",109.8596,4,"OUT018","Medium","Tier 3","Supermarket Type2",1617.894
"W36","FD",12.2771082089552,"Low Fat",0.056656942,"Baking Goods",106.2622,28,"OUT027","Medium","Tier 3","Supermarket Type3",2328.9684
"N31","FD",11.5,"Low Fat",0.072994847,"Fruits and Vegetables",189.253,14,"OUT049","Medium","Tier 1","Supermarket Type1",1328.271
"U54","NC",8.88,"Low Fat",0.165073642,"Household",207.727,15,"OUT010","Medium","Tier 3","Grocery Store",209.727
"S01","FD",11.6,"Low Fat",0.017744999,"Canned",177.9686,16,"OUT046","Small","Tier 1","Supermarket Type1",1244.3802
"A23","FD",9.8,"Low Fat",0.047453947,"Baking Goods",101.7016,6,"OUT017","Small","Tier 2","Supermarket Type1",1518.024
"Y08","FD",9.395,"Regular",0.171422166,"Fruits and Vegetables",139.1838,11,"OUT045","Small","Tier 2","Supermarket Type1",1685.8056
"J28","FD",12.3,"Low Fat",0.021860985,"Frozen Foods",193.3162,16,"OUT046","Small","Tier 1","Supermarket Type1",3078.6592
"F36","DR",16.1,"Low Fat",0.023577298,"Soft Drinks",192.6846,16,"OUT046","Small","Tier 1","Supermarket Type1",2866.269
"H44","FD",19.1,"Regular",0.043304681,"Fruits and Vegetables",147.5418,15,"OUT010","Medium","Tier 3","Grocery Store",294.2836
"Y54","NC",8.43,"Low Fat",0.177971115,"Household",174.0422,14,"OUT049","Medium","Tier 1","Supermarket Type1",2069.3064
"R59","FD",14.5,"Regular",0.106894492,"Breads",260.4594,15,"OUT010","Medium","Tier 3","Grocery Store",1046.6376
"A59","DR",8.27,"Regular",0.127927931,"Soft Drinks",184.8924,16,"OUT046","Small","Tier 1","Supermarket Type1",4442.2176
"S55","FD",7.02,"Low Fat",0.081623275,"Fruits and Vegetables",148.0734,6,"OUT017","Small","Tier 2","Supermarket Type1",1930.1542
"Z28","FD",20,"Regular",0.051596927,"Frozen Foods",128.0678,11,"OUT045","Small","Tier 2","Supermarket Type1",1780.3492
"G49","DR",7.81,"Low Fat",0.067592098,"Soft Drinks",246.0486,11,"OUT045","Small","Tier 2","Supermarket Type1",7086.1094
"H21","FD",12.5528431372549,"Low Fat",0.054670967,"Seafood",158.6604,28,"OUT019","Small","Tier 1","Grocery Store",316.9208
"N19","NC",13.1,"Low Fat",0.012089479,"Others",189.853,26,"OUT013","High","Tier 3","Supermarket Type1",3415.554
"P25","FD",15.2,"Low Fat",0.021250528,"Canned",216.5824,11,"OUT045","Small","Tier 2","Supermarket Type1",5241.1776
"H59","DR",10.8,"Low Fat",0.05843345,"Hard Drinks",74.738,16,"OUT046","Small","Tier 1","Supermarket Type1",1025.332
"H09","FD",12.6,"Low Fat",0.05606697,"Seafood",50.7982,9,"OUT035","Small","Tier 2","Supermarket Type1",473.3838
"K54","NC",12.15,"Low Fat",0.029569276,"Household",115.015,14,"OUT049","Medium","Tier 1","Supermarket Type1",2912.875
"T21","FD",7.42,"Low Fat",0.0204332,"Snack Foods",248.9092,11,"OUT045","Small","Tier 2","Supermarket Type1",5976.2208
"R12","FD",12.2771082089552,"Regular",0.055213281,"Baking Goods",172.4764,28,"OUT019","Small","Tier 1","Grocery Store",687.1056
"S25","FD",6.885,"Regular",0.1408005,"Canned",111.4228,6,"OUT017","Small","Tier 2","Supermarket Type1",2984.1156
"L05","NC",13.1423139534884,"Low Fat",0.047665717,"Health and Hygiene",42.177,28,"OUT027","Medium","Tier 3","Supermarket Type3",1255.033
"I30","NC",20.25,"Low Fat",0.059268885,"Household",246.446,6,"OUT017","Small","Tier 2","Supermarket Type1",3695.19
"J26","FD",15.3,"Regular",0.084937098,"Canned",214.0218,11,"OUT045","Small","Tier 2","Supermarket Type1",1068.609
"A56","FD",9.21,"Low Fat",0.008778413,"Fruits and Vegetables",122.4414,14,"OUT049","Medium","Tier 1","Supermarket Type1",1583.9382
"M33","FD",15.6,"Low Fat",0,"Snack Foods",220.4798,4,"OUT018","Medium","Tier 3","Supermarket Type2",661.1394
"P04","FD",15.35,"Low Fat",0.013834247,"Frozen Foods",62.7168,14,"OUT049","Medium","Tier 1","Supermarket Type1",958.752
"R55","FD",12.15,"Regular",0.132351411,"Fruits and Vegetables",190.3872,11,"OUT045","Small","Tier 2","Supermarket Type1",2836.308
"Z54","NC",13.3847364953887,"Low Fat",0.082955719,"Household",164.0552,28,"OUT027","Medium","Tier 3","Supermarket Type3",5523.4768
"A53","NC",11.395,"Low Fat",0.009893817,"Health and Hygiene",50.3034,14,"OUT049","Medium","Tier 1","Supermarket Type1",972.068
"L20","FD",17.1,"Low Fat",0,"Fruits and Vegetables",111.9886,16,"OUT046","Small","Tier 1","Supermarket Type1",3002.0922
"T26","FD",18.85,"Regular",0.067940657,"Dairy",119.044,9,"OUT035","Small","Tier 2","Supermarket Type1",1198.44
"Z06","NC",19.6,"Low Fat",0.094161662,"Household",251.9698,16,"OUT046","Small","Tier 1","Supermarket Type1",4566.0564
"A04","FD",11.3,"Regular",0.067107448,"Frozen Foods",258.1962,6,"OUT017","Small","Tier 2","Supermarket Type1",4402.9354
